DOI,DOI_links
10.1007/BF01340031,http://dx.doi.org/10.1007/BF01340031
10.1149/1.2779757,http://dx.doi.org/10.1149/1.2779757
10.1016/S0003-2670(00)89691-9,http://dx.doi.org/10.1016/S0003-2670(00)89691-9
10.1021/ie51398a014,http://dx.doi.org/10.1021/ie51398a014
10.1149/1.2428884,http://dx.doi.org/10.1149/1.2428884
10.1149/1.2427509,http://dx.doi.org/10.1149/1.2427509
10.1149/1.2427380,http://dx.doi.org/10.1149/1.2427380
10.1149/1.2427919,http://dx.doi.org/10.1149/1.2427919
10.1149/1.2428247,http://dx.doi.org/10.1149/1.2428247
10.1149/1.2428046,http://dx.doi.org/10.1149/1.2428046
10.1149/1.2425705,http://dx.doi.org/10.1149/1.2425705
10.2514/3.25054,http://dx.doi.org/10.2514/3.25054
10.1149/1.2411440,http://dx.doi.org/10.1149/1.2411440
10.1149/1.2411826,http://dx.doi.org/10.1149/1.2411826
10.1149/1.2411514,http://dx.doi.org/10.1149/1.2411514
10.1149/1.2407642,http://dx.doi.org/10.1149/1.2407642
10.1016/0013-7480(70)90067-7,http://dx.doi.org/10.1016/0013-7480(70)90067-7
10.1016/0022-4596(71)90015-6,http://dx.doi.org/10.1016/0022-4596(71)90015-6
10.1016/S0010-938X(71)80050-1,http://dx.doi.org/10.1016/S0010-938X(71)80050-1
10.1524/zpch.1972.77.1-6.105,http://dx.doi.org/10.1524/zpch.1972.77.1-6.105
10.1149/1.2403980,http://dx.doi.org/10.1149/1.2403980
10.1088/0022-3727/5/12/306,http://dx.doi.org/10.1088/0022-3727/5/12/306
10.1524/zpch.1973.85.1-4.144,http://dx.doi.org/10.1524/zpch.1973.85.1-4.144
10.1016/0013-4686(75)87014-9,http://dx.doi.org/10.1016/0013-4686(75)87014-9
10.1111/j.1559-3584.1976.tb05238.x,http://dx.doi.org/10.1111/j.1559-3584.1976.tb05238.x
10.1149/1.2132710,http://dx.doi.org/10.1149/1.2132710
10.1149/1.2132777,http://dx.doi.org/10.1149/1.2132777
10.1016/0378-7753(76)80003-1,http://dx.doi.org/10.1016/0378-7753(76)80003-1
10.1149/1.2133094,http://dx.doi.org/10.1149/1.2133094
10.1149/1.2133517,http://dx.doi.org/10.1149/1.2133517
10.1016/0010-938X(77)90027-0,http://dx.doi.org/10.1016/0010-938X(77)90027-0
10.1111/j.1540-8159.1978.tb03454.x,http://dx.doi.org/10.1111/j.1540-8159.1978.tb03454.x
10.1016/S0022-0728(78)80179-X,http://dx.doi.org/10.1016/S0022-0728(78)80179-X
10.1007/BF00610945,http://dx.doi.org/10.1007/BF00610945
10.1007/BF00610944,http://dx.doi.org/10.1007/BF00610944
10.1016/0013-4686(79)87049-8,http://dx.doi.org/10.1016/0013-4686(79)87049-8
10.1179/000705979798276095,http://dx.doi.org/10.1179/000705979798276095
10.1149/1.2129408,http://dx.doi.org/10.1149/1.2129408
10.1149/1.2129928,http://dx.doi.org/10.1149/1.2129928
10.1149/1.2129706,http://dx.doi.org/10.1149/1.2129706
10.1016/0378-7753(80)80002-4,http://dx.doi.org/10.1016/0378-7753(80)80002-4
10.1016/0378-7753(80)80105-4,http://dx.doi.org/10.1016/0378-7753(80)80105-4
10.1016/0013-4686(80)90024-9,http://dx.doi.org/10.1016/0013-4686(80)90024-9
10.5796/kogyobutsurikagaku.48.592,http://dx.doi.org/10.5796/kogyobutsurikagaku.48.592
10.3109/01050398109076179,http://dx.doi.org/10.3109/01050398109076179
10.1098/rsta.1981.0173,http://dx.doi.org/10.1098/rsta.1981.0173
10.1149/1.2127707,http://dx.doi.org/10.1149/1.2127707
10.1007/BF00650737,http://dx.doi.org/10.1007/BF00650737
10.1016/0378-7753(81)80027-4,http://dx.doi.org/10.1016/0378-7753(81)80027-4
10.1021/je00023a002,http://dx.doi.org/10.1021/je00023a002
10.5006/1.3580802,http://dx.doi.org/10.5006/1.3580802
10.1149/1.2123485,http://dx.doi.org/10.1149/1.2123485
10.1149/1.2124267,http://dx.doi.org/10.1149/1.2124267
10.1149/1.2124105,http://dx.doi.org/10.1149/1.2124105
10.1149/1.2124052,http://dx.doi.org/10.1149/1.2124052
10.1149/1.2124051,http://dx.doi.org/10.1149/1.2124051
10.1016/0378-7753(81)80049-3,http://dx.doi.org/10.1016/0378-7753(81)80049-3
10.1016/0378-7753(82)85003-9,http://dx.doi.org/10.1016/0378-7753(82)85003-9
10.1016/0378-7753(82)80009-8,http://dx.doi.org/10.1016/0378-7753(82)80009-8
10.1007/BF00616905,http://dx.doi.org/10.1007/BF00616905
10.1149/1.2120055,http://dx.doi.org/10.1149/1.2120055
10.1149/1.2119764,http://dx.doi.org/10.1149/1.2119764
10.1149/1.2119747,http://dx.doi.org/10.1149/1.2119747
10.1016/0378-7753(83)80013-5,http://dx.doi.org/10.1016/0378-7753(83)80013-5
10.1016/0378-7753(83)87008-6,http://dx.doi.org/10.1016/0378-7753(83)87008-6
10.1016/S0376-7388(00)81565-3,http://dx.doi.org/10.1016/S0376-7388(00)81565-3
10.1007/BF00617820,http://dx.doi.org/10.1007/BF00617820
10.1109/T-VT.1983.23941,http://dx.doi.org/10.1109/T-VT.1983.23941
10.1016/0013-4686(83)85034-8,http://dx.doi.org/10.1016/0013-4686(83)85034-8
10.1149/1.2115877,http://dx.doi.org/10.1149/1.2115877
10.1016/0378-7753(84)80037-3,http://dx.doi.org/10.1016/0378-7753(84)80037-3
10.1016/0368-1874(84)87113-0,http://dx.doi.org/10.1016/0368-1874(84)87113-0
10.1016/S0020-1693(00)82320-8,http://dx.doi.org/10.1016/S0020-1693(00)82320-8
10.1149/1.2114100,http://dx.doi.org/10.1149/1.2114100
10.1016/0378-7753(85)80003-3,http://dx.doi.org/10.1016/0378-7753(85)80003-3
10.1007/BF00620565,http://dx.doi.org/10.1007/BF00620565
10.1016/0378-7753(86)80024-6,http://dx.doi.org/10.1016/0378-7753(86)80024-6
10.1016/0013-4686(86)85029-0,http://dx.doi.org/10.1016/0013-4686(86)85029-0
10.1016/0022-0728(86)90227-5,http://dx.doi.org/10.1016/0022-0728(86)90227-5
10.1007/BF01006848,http://dx.doi.org/10.1007/BF01006848
10.1149/1.2221294,http://dx.doi.org/10.1149/1.2221294
10.1007/BF01023298,http://dx.doi.org/10.1007/BF01023298
10.1149/1.2100578,http://dx.doi.org/10.1149/1.2100578
10.1007/BF01084126,http://dx.doi.org/10.1007/BF01084126
10.1007/BF01084125,http://dx.doi.org/10.1007/BF01084125
10.1016/0378-7753(87)80075-7,http://dx.doi.org/10.1016/0378-7753(87)80075-7
10.1016/0378-7753(87)80048-4,http://dx.doi.org/10.1016/0378-7753(87)80048-4
10.1007/BF01024369,http://dx.doi.org/10.1007/BF01024369
10.1016/S0003-2670(00)83770-8,http://dx.doi.org/10.1016/S0003-2670(00)83770-8
10.1149/1.2100277,http://dx.doi.org/10.1149/1.2100277
10.1016/0360-5442(88)90027-8,http://dx.doi.org/10.1016/0360-5442(88)90027-8
10.5796/kogyobutsurikagaku.57.503,http://dx.doi.org/10.5796/kogyobutsurikagaku.57.503
10.1016/0022-0728(89)80223-2,http://dx.doi.org/10.1016/0022-0728(89)80223-2
10.1016/0378-7753(89)80128-4,http://dx.doi.org/10.1016/0378-7753(89)80128-4
10.1149/1.2096423,http://dx.doi.org/10.1149/1.2096423
10.1007/BF01007946,http://dx.doi.org/10.1007/BF01007946
10.5006/1.3585101,http://dx.doi.org/10.5006/1.3585101
10.1016/0378-7753(90)80032-9,http://dx.doi.org/10.1016/0378-7753(90)80032-9
10.1007/BF01464289,http://dx.doi.org/10.1007/BF01464289
10.1016/0378-7753(91)80059-7,http://dx.doi.org/10.1016/0378-7753(91)80059-7
10.5006/1.3585305,http://dx.doi.org/10.5006/1.3585305
10.1111/j.1559-3584.1991.tb01086.x,http://dx.doi.org/10.1111/j.1559-3584.1991.tb01086.x
10.1149/1.2085390,http://dx.doi.org/10.1149/1.2085390
10.1149/1.2085459,http://dx.doi.org/10.1149/1.2085459
10.1016/0008-6223(92)90135-J,http://dx.doi.org/10.1016/0008-6223(92)90135-J
10.1007/BF01023812,http://dx.doi.org/10.1007/BF01023812
10.1007/BF01023809,http://dx.doi.org/10.1007/BF01023809
10.1149/1.2069348,http://dx.doi.org/10.1149/1.2069348
10.1016/0378-7753(92)80128-X,http://dx.doi.org/10.1016/0378-7753(92)80128-X
10.1007/BF01024139,http://dx.doi.org/10.1007/BF01024139
10.1007/BF01024138,http://dx.doi.org/10.1007/BF01024138
10.1016/0378-7753(92)80016-5,http://dx.doi.org/10.1016/0378-7753(92)80016-5
10.1149/1.2056222,http://dx.doi.org/10.1149/1.2056222
10.1002/cber.19931260526,http://dx.doi.org/10.1002/cber.19931260526
10.1016/0013-4686(93)80072-8,http://dx.doi.org/10.1016/0013-4686(93)80072-8
10.1149/1.2221104,http://dx.doi.org/10.1149/1.2221104
10.1016/0378-7753(94)80045-6,http://dx.doi.org/10.1016/0378-7753(94)80045-6
10.1016/0378-7753(94)80035-9,http://dx.doi.org/10.1016/0378-7753(94)80035-9
10.1016/0167-2738(94)90391-3,http://dx.doi.org/10.1016/0167-2738(94)90391-3
10.1109/62.282513,http://dx.doi.org/10.1109/62.282513
10.1016/0378-7753(94)01910-X,http://dx.doi.org/10.1016/0378-7753(94)01910-X
10.1016/0378-7753(94)01955-X,http://dx.doi.org/10.1016/0378-7753(94)01955-X
10.1016/0378-7753(94)01954-1,http://dx.doi.org/10.1016/0378-7753(94)01954-1
10.1007/BF00348772,http://dx.doi.org/10.1007/BF00348772
10.1016/0378-7753(94)02010-8,http://dx.doi.org/10.1016/0378-7753(94)02010-8
10.1016/0378-7753(94)02170-8,http://dx.doi.org/10.1016/0378-7753(94)02170-8
10.1016/0013-4686(95)00026-B,http://dx.doi.org/10.1016/0013-4686(95)00026-B
10.5006/1.3293625,http://dx.doi.org/10.5006/1.3293625
10.1016/0378-7753(95)02225-2,http://dx.doi.org/10.1016/0378-7753(95)02225-2
10.1016/0378-7753(95)02242-2,http://dx.doi.org/10.1016/0378-7753(95)02242-2
10.1002/maco.19950461105,http://dx.doi.org/10.1002/maco.19950461105
10.1109/SOUTHC.1996.535134,http://dx.doi.org/10.1109/SOUTHC.1996.535134
10.1007/BF00248189,http://dx.doi.org/10.1007/BF00248189
10.1016/0013-4686(95)00281-I,http://dx.doi.org/10.1016/0013-4686(95)00281-I
10.1002/cite.330680109,http://dx.doi.org/10.1002/cite.330680109
10.1016/0304-386X(95)00010-E,http://dx.doi.org/10.1016/0304-386X(95)00010-E
10.1016/0304-386X(95)00009-6,http://dx.doi.org/10.1016/0304-386X(95)00009-6
10.1016/0048-9697(95)05025-6,http://dx.doi.org/10.1016/0048-9697(95)05025-6
10.1016/S0964-8305(96)00013-3,http://dx.doi.org/10.1016/S0964-8305(96)00013-3
10.1007/BF01021978,http://dx.doi.org/10.1007/BF01021978
10.1016/0013-4686(95)00439-4,http://dx.doi.org/10.1016/0013-4686(95)00439-4
10.1002/cite.330680505,http://dx.doi.org/10.1002/cite.330680505
10.1016/0883-2927(96)00015-7,http://dx.doi.org/10.1016/0883-2927(96)00015-7
10.5006/1.3292141,http://dx.doi.org/10.5006/1.3292141
10.1016/0167-577X(96)00017-1,http://dx.doi.org/10.1016/0167-577X(96)00017-1
10.1007/BF00683746,http://dx.doi.org/10.1007/BF00683746
10.1016/S0378-7753(96)02421-4,http://dx.doi.org/10.1016/S0378-7753(96)02421-4
10.1016/S0378-7753(96)02452-4,http://dx.doi.org/10.1016/S0378-7753(96)02452-4
10.1109/WESCON.1997.632347,http://dx.doi.org/10.1109/WESCON.1997.632347
10.1109/BCAA.1997.574099,http://dx.doi.org/10.1109/BCAA.1997.574099
10.1109/BCAA.1997.574088,http://dx.doi.org/10.1109/BCAA.1997.574088
10.1109/BCAA.1997.574072,http://dx.doi.org/10.1109/BCAA.1997.574072
10.1109/BCAA.1997.574071,http://dx.doi.org/10.1109/BCAA.1997.574071
10.1109/IECEC.1997.661884,http://dx.doi.org/10.1109/IECEC.1997.661884
10.1109/IECEC.1997.661883,http://dx.doi.org/10.1109/IECEC.1997.661883
10.1109/IECEC.1997.661881,http://dx.doi.org/10.1109/IECEC.1997.661881
10.5796/kogyobutsurikagaku.65.154,http://dx.doi.org/10.5796/kogyobutsurikagaku.65.154
10.1016/S0378-7753(96)02614-6,http://dx.doi.org/10.1016/S0378-7753(96)02614-6
10.1016/S0304-386X(96)00060-6,http://dx.doi.org/10.1016/S0304-386X(96)00060-6
10.1016/S0022-0728(96)04992-3,http://dx.doi.org/10.1016/S0022-0728(96)04992-3
10.1149/1.1837647,http://dx.doi.org/10.1149/1.1837647
10.1016/S0378-7753(96)02536-0,http://dx.doi.org/10.1016/S0378-7753(96)02536-0
10.5796/kogyobutsurikagaku.65.384,http://dx.doi.org/10.5796/kogyobutsurikagaku.65.384
10.1109/62.587056,http://dx.doi.org/10.1109/62.587056
10.5796/kogyobutsurikagaku.65.650,http://dx.doi.org/10.5796/kogyobutsurikagaku.65.650
10.1017/S002221510013871X,http://dx.doi.org/10.1017/S002221510013871X
10.1016/S0378-7753(96)02575-X,http://dx.doi.org/10.1016/S0378-7753(96)02575-X
10.1109/BCAA.1998.653839,http://dx.doi.org/10.1109/BCAA.1998.653839
10.1109/BCAA.1998.653830,http://dx.doi.org/10.1109/BCAA.1998.653830
10.1109/BCAA.1998.653829,http://dx.doi.org/10.1109/BCAA.1998.653829
10.1023/A:1003267700824,http://dx.doi.org/10.1023/A:1003267700824
10.5796/kogyobutsurikagaku.66.425,http://dx.doi.org/10.5796/kogyobutsurikagaku.66.425
10.1016/S0022-0728(98)00031-X,http://dx.doi.org/10.1016/S0022-0728(98)00031-X
10.1016/S0378-7753(98)00040-8,http://dx.doi.org/10.1016/S0378-7753(98)00040-8
10.1016/S0378-7753(98)00108-6,http://dx.doi.org/10.1016/S0378-7753(98)00108-6
10.1016/S0378-7753(98)00096-2,http://dx.doi.org/10.1016/S0378-7753(98)00096-2
10.1023/A:1003464011815,http://dx.doi.org/10.1023/A:1003464011815
10.1109/62.715538,http://dx.doi.org/10.1109/62.715538
10.1016/S0378-7753(98)00155-4,http://dx.doi.org/10.1016/S0378-7753(98)00155-4
10.1179/000705999101500842,http://dx.doi.org/10.1179/000705999101500842
10.1016/S0378-7753(99)00026-9,http://dx.doi.org/10.1016/S0378-7753(99)00026-9
10.1049/pe:19990307,http://dx.doi.org/10.1049/pe:19990307
10.1016/S0378-7753(99)00060-9,http://dx.doi.org/10.1016/S0378-7753(99)00060-9
10.1016/S0304-386X(99)00005-5,http://dx.doi.org/10.1016/S0304-386X(99)00005-5
10.1016/S0169-4332(99)00140-3,http://dx.doi.org/10.1016/S0169-4332(99)00140-3
10.1016/S0378-7753(98)00251-1,http://dx.doi.org/10.1016/S0378-7753(98)00251-1
10.1023/A:1003596017394,http://dx.doi.org/10.1023/A:1003596017394
10.1149/1.1392456,http://dx.doi.org/10.1149/1.1392456
10.1023/A:1003684219989,http://dx.doi.org/10.1023/A:1003684219989
10.1023/A:1003642332458,http://dx.doi.org/10.1023/A:1003642332458
10.1016/S1388-2481(99)00105-8,http://dx.doi.org/10.1016/S1388-2481(99)00105-8
10.1023/A:1003815804763,http://dx.doi.org/10.1023/A:1003815804763
10.1016/S0040-4020(99)01089-3,http://dx.doi.org/10.1016/S0040-4020(99)01089-3
10.1016/S0043-1354(99)00416-9,http://dx.doi.org/10.1016/S0043-1354(99)00416-9
10.1016/S0378-7753(99)00487-5,http://dx.doi.org/10.1016/S0378-7753(99)00487-5
10.1016/S0378-7753(99)00350-X,http://dx.doi.org/10.1016/S0378-7753(99)00350-X
10.1002/(SICI)1097-4660(200004)75:4<285::AID-JCTB207>3.0.CO;2-C,http://dx.doi.org/10.1002/(SICI)1097-4660(200004)75:4<285::AID-JCTB207>3.0.CO;2-C
10.1023/A:1003974916237,http://dx.doi.org/10.1023/A:1003974916237
10.3866/PKU.WHXB20000516,http://dx.doi.org/10.3866/PKU.WHXB20000516
10.1002/1096-9918(200008)30:1<170::AID-SIA733>3.3.CO;2-N,http://dx.doi.org/10.1002/1096-9918(200008)30:1<170::AID-SIA733>3.3.CO;2-N
10.1016/S0013-4686(00)00599-5,http://dx.doi.org/10.1016/S0013-4686(00)00599-5
10.1016/S0378-7753(00)00417-1,http://dx.doi.org/10.1016/S0378-7753(00)00417-1
10.1109/BCAA.2001.905147,http://dx.doi.org/10.1109/BCAA.2001.905147
10.1109/BCAA.2001.905146,http://dx.doi.org/10.1109/BCAA.2001.905146
10.1039/b005523i,http://dx.doi.org/10.1039/b005523i
10.1023/A:1012762716296,http://dx.doi.org/10.1023/A:1012762716296
10.1149/1.1359936,http://dx.doi.org/10.1149/1.1359936
10.1016/S0378-7753(01)00496-7,http://dx.doi.org/10.1016/S0378-7753(01)00496-7
10.1016/S0378-7753(01)00489-X,http://dx.doi.org/10.1016/S0378-7753(01)00489-X
10.1016/S0378-7753(00)00679-0,http://dx.doi.org/10.1016/S0378-7753(00)00679-0
10.1023/A:1013792732154,http://dx.doi.org/10.1023/A:1013792732154
10.1016/S0010-938X(00)00177-3,http://dx.doi.org/10.1016/S0010-938X(00)00177-3
10.1361/105994901770344755,http://dx.doi.org/10.1361/105994901770344755
10.1016/S0378-7753(01)00710-8,http://dx.doi.org/10.1016/S0378-7753(01)00710-8
10.1149/1.1417975,http://dx.doi.org/10.1149/1.1417975
10.1016/S0013-4686(01)00762-9,http://dx.doi.org/10.1016/S0013-4686(01)00762-9
10.1142/9789812776259_0022,http://dx.doi.org/10.1142/9789812776259_0022
10.1109/BCAA.2002.986400,http://dx.doi.org/10.1109/BCAA.2002.986400
10.1109/AUV.2002.1177199,http://dx.doi.org/10.1109/AUV.2002.1177199
10.1016/S0378-7753(01)00855-2,http://dx.doi.org/10.1016/S0378-7753(01)00855-2
10.1246/cl.2002.408,http://dx.doi.org/10.1246/cl.2002.408
10.1021/cm011305v,http://dx.doi.org/10.1021/cm011305v
10.1016/S0167-2738(02)00073-5,http://dx.doi.org/10.1016/S0167-2738(02)00073-5
10.2109/jcersj.110.681,http://dx.doi.org/10.2109/jcersj.110.681
10.1016/S0378-7753(02)00260-4,http://dx.doi.org/10.1016/S0378-7753(02)00260-4
10.1016/S0013-4686(02)00316-X,http://dx.doi.org/10.1016/S0013-4686(02)00316-X
10.1016/S0378-7753(02)00354-3,http://dx.doi.org/10.1016/S0378-7753(02)00354-3
10.1016/S0378-7753(02)00438-X,http://dx.doi.org/10.1016/S0378-7753(02)00438-X
10.1016/S0378-7753(02)00446-9,http://dx.doi.org/10.1016/S0378-7753(02)00446-9
10.1109/LESCPE.2003.1204698,http://dx.doi.org/10.1109/LESCPE.2003.1204698
10.1023/A:1022986707273,http://dx.doi.org/10.1023/A:1022986707273
10.1016/S0378-7753(02)00604-3,http://dx.doi.org/10.1016/S0378-7753(02)00604-3
10.1016/S0378-7753(03)00025-9,http://dx.doi.org/10.1016/S0378-7753(03)00025-9
10.1023/A:1026013420730,http://dx.doi.org/10.1023/A:1026013420730
10.1149/1.1566017,http://dx.doi.org/10.1149/1.1566017
10.1016/S0378-7753(03)00161-7,http://dx.doi.org/10.1016/S0378-7753(03)00161-7
10.1016/S0167-2738(03)00209-1,http://dx.doi.org/10.1016/S0167-2738(03)00209-1
10.1023/A:1026323909636,http://dx.doi.org/10.1023/A:1026323909636
10.1002/maco.200390088,http://dx.doi.org/10.1002/maco.200390088
10.1016/S0378-7753(03)00212-X,http://dx.doi.org/10.1016/S0378-7753(03)00212-X
10.1016/S0360-3199(02)00137-4,http://dx.doi.org/10.1016/S0360-3199(02)00137-4
10.1149/1.1578478,http://dx.doi.org/10.1149/1.1578478
10.1023/A:1025514620869,http://dx.doi.org/10.1023/A:1025514620869
10.1023/B:RJAC.0000015722.94441.92,http://dx.doi.org/10.1023/B:RJAC.0000015722.94441.92
10.1149/1.1606453,http://dx.doi.org/10.1149/1.1606453
10.1016/S0378-7753(03)00737-7,http://dx.doi.org/10.1016/S0378-7753(03)00737-7
10.1023/B:RJAC.0000022441.03965.53,http://dx.doi.org/10.1023/B:RJAC.0000022441.03965.53
10.1007/s11661-003-0198-6,http://dx.doi.org/10.1007/s11661-003-0198-6
10.5796/electrochemistry.71.1070,http://dx.doi.org/10.5796/electrochemistry.71.1070
10.1142/9789812702586_0052,http://dx.doi.org/10.1142/9789812702586_0052
10.1023/B:RJAC.0000024578.28495.4e,http://dx.doi.org/10.1023/B:RJAC.0000024578.28495.4e
10.1108/13552540410512543,http://dx.doi.org/10.1108/13552540410512543
10.1149/1.1757459,http://dx.doi.org/10.1149/1.1757459
10.1023/B:PROM.0000021609.42029.f8,http://dx.doi.org/10.1023/B:PROM.0000021609.42029.f8
10.1016/j.matlet.2003.08.029,http://dx.doi.org/10.1016/j.matlet.2003.08.029
10.1016/j.jpowsour.2003.09.050,http://dx.doi.org/10.1016/j.jpowsour.2003.09.050
10.1016/j.jpowsour.2003.09.054,http://dx.doi.org/10.1016/j.jpowsour.2003.09.054
10.1016/j.jpowsour.2003.12.018,http://dx.doi.org/10.1016/j.jpowsour.2003.12.018
10.1016/j.jpowsour.2004.01.028,http://dx.doi.org/10.1016/j.jpowsour.2004.01.028
10.1002/jctb.1007,http://dx.doi.org/10.1002/jctb.1007
10.1016/j.matchemphys.2004.03.006,http://dx.doi.org/10.1016/j.matchemphys.2004.03.006
10.5796/electrochemistry.72.656,http://dx.doi.org/10.5796/electrochemistry.72.656
10.1016/j.jpowsour.2004.05.019,http://dx.doi.org/10.1016/j.jpowsour.2004.05.019
10.5796/electrochemistry.72.755,http://dx.doi.org/10.5796/electrochemistry.72.755
10.1016/j.cap.2003.11.065,http://dx.doi.org/10.1016/j.cap.2003.11.065
10.1016/j.jpowsour.2004.06.049,http://dx.doi.org/10.1016/j.jpowsour.2004.06.049
10.1016/j.jpowsour.2004.06.043,http://dx.doi.org/10.1016/j.jpowsour.2004.06.043
10.1149/1.2039567,http://dx.doi.org/10.1149/1.2039567
10.1007/BF02430403,http://dx.doi.org/10.1007/BF02430403
10.1007/s11167-005-0309-9,http://dx.doi.org/10.1007/s11167-005-0309-9
10.1016/j.jpowsour.2004.10.006,http://dx.doi.org/10.1016/j.jpowsour.2004.10.006
10.3866/PKU.WHXB20050323,http://dx.doi.org/10.3866/PKU.WHXB20050323
10.1021/ja044643g,http://dx.doi.org/10.1021/ja044643g
10.1016/j.jpowsour.2004.11.027,http://dx.doi.org/10.1016/j.jpowsour.2004.11.027
10.1088/0957-4484/16/6/031,http://dx.doi.org/10.1088/0957-4484/16/6/031
